"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"COMPARTMENTS","GOCC:0110165",107,13853,9606,"9606.ENSP00000023064,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216780,9606.ENSP00000223215,9606.ENSP00000229135,9606.ENSP00000231509,9606.ENSP00000258742,9606.ENSP00000258975,9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000262430,9606.ENSP00000262741,9606.ENSP00000265594,9606.ENSP00000265641,9606.ENSP00000268124,9606.ENSP00000281317,9606.ENSP00000289753,9606.ENSP00000292303,9606.ENSP00000295550,9606.ENSP00000300215,9606.ENSP00000303427,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000307199,9606.ENSP00000308117,9606.ENSP00000308725,9606.ENSP00000309092,9606.ENSP00000310170,9606.ENSP00000310649,9606.ENSP00000310933,9606.ENSP00000311837,9606.ENSP00000312029,9606.ENSP00000317790,9606.ENSP00000321345,9606.ENSP00000324105,9606.ENSP00000324270,9606.ENSP00000325868,9606.ENSP00000326305,9606.ENSP00000327025,9606.ENSP00000328397,9606.ENSP00000330696,9606.ENSP00000334665,9606.ENSP00000336630,9606.ENSP00000337383,9606.ENSP00000341044,9606.ENSP00000343273,9606.ENSP00000343657,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000346173,9606.ENSP00000347409,9606.ENSP00000349967,9606.ENSP00000351214,9606.ENSP00000351430,9606.ENSP00000352833,9606.ENSP00000354003,9606.ENSP00000354511,9606.ENSP00000357129,9606.ENSP00000357158,9606.ENSP00000358518,9606.ENSP00000358831,9606.ENSP00000359609,9606.ENSP00000359871,9606.ENSP00000360124,9606.ENSP00000360217,9606.ENSP00000361042,9606.ENSP00000361064,9606.ENSP00000361813,9606.ENSP00000362206,9606.ENSP00000362727,9606.ENSP00000364802,9606.ENSP00000367064,9606.ENSP00000370023,9606.ENSP00000371420,9606.ENSP00000372139,9606.ENSP00000373298,9606.ENSP00000376303,9606.ENSP00000377192,9606.ENSP00000379011,9606.ENSP00000379087,9606.ENSP00000383715,9606.ENSP00000383840,9606.ENSP00000385025,9606.ENSP00000385675,9606.ENSP00000385689,9606.ENSP00000386377,9606.ENSP00000389175,9606.ENSP00000393066,9606.ENSP00000398698,9606.ENSP00000402152,9606.ENSP00000408236,9606.ENSP00000411004,9606.ENSP00000412237,9606.ENSP00000427690,9606.ENSP00000430950,9606.ENSP00000433490,9606.ENSP00000438689,9606.ENSP00000441858,9606.ENSP00000444810,9606.ENSP00000445306,9606.ENSP00000451752,9606.ENSP00000467494,9606.ENSP00000468500,9606.ENSP00000477344,9606.ENSP00000480020,9606.ENSP00000480484","SLC7A9,MAPK1,MYH9,PCK2,MEST,IFNG,NR3C1,NUPL2,TACO1,VIPR2,SLC4A1,MLYCD,PIK3R3,MCCC1,CPT1A,POLG,MMAA,HTR6,CCR5,COL6A3,EPB42,PDS5A,ADORA2B,ADRB2,AHSP,CD248,GABRB3,GMPPB,FOSL1,BRSK1,MADD,SNTG2,UCP2,SPTBN5,IL23R,ENO3,OXTR,ODF3,SLC25A20,RORC,VMO1,P2RX7,FSCN2,ADORA2A,NLRP3,ACACB,KLHL7,MCCC2,GPR29,KCNQ5,ETFB,KEL,CCRL2,TOMM7,GYPE,PTPN22,GYPA,COMT,SPTA1,FCRL1,F8A2,ELOVL4,LMBRD1,ACADM,PGM1,RHAG,SURF1,MINPP1,BEX1,KLHL4,DENND1A,HSPA1A,CUBN,HADHA,GPNMB,DEFA1,COLQ,CPT1C,G6PD,CPT1B,ADM2,ENSP00000383715,MMACHC,SMCR8,IL6,GRAMD4,MGAT5,GLYCTK,SLC4A10,TNF,SLC12A3,CYTH2,XG,IL10,GYPB,IDO1,CALCB,ACADVL,DMXL2,FKBP5,ATP1A1,SPTB,GIPR,GFAP,SYT6,HEMGN,TCHH",8.78e-05,0.0184,"Cellular anatomical entity"
"COMPARTMENTS","GOCC:0016021",22,1456,9606,"9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000265641,9606.ENSP00000292303,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000308725,9606.ENSP00000310933,9606.ENSP00000321345,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000349967,9606.ENSP00000358831,9606.ENSP00000359609,9606.ENSP00000371420,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000393066,9606.ENSP00000398698,9606.ENSP00000411004,9606.ENSP00000445306","VIPR2,SLC4A1,CPT1A,CCR5,ADORA2B,ADRB2,GABRB3,MADD,IL23R,ADORA2A,GPR29,KCNQ5,CCRL2,ELOVL4,LMBRD1,GPNMB,ENSP00000383715,IL6,SLC4A10,TNF,XG,ATP1A1",0.00015,0.028,"Integral component of membrane"
"COMPARTMENTS","GOCC:0005887",15,782,9606,"9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000292303,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000321345,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000349967,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000411004,9606.ENSP00000445306","VIPR2,SLC4A1,CCR5,ADORA2B,ADRB2,IL23R,ADORA2A,GPR29,KCNQ5,CCRL2,ENSP00000383715,IL6,TNF,XG,ATP1A1",0.00016,0.0288,"Integral component of plasma membrane"
"COMPARTMENTS","GOCC:0002169",2,2,9606,"9606.ENSP00000265594,9606.ENSP00000343657","MCCC1,MCCC2",0.00024,0.0392,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial"
"COMPARTMENTS","GOCC:0030864",4,46,9606,"9606.ENSP00000216181,9606.ENSP00000317790,9606.ENSP00000357129,9606.ENSP00000451752","MYH9,SPTBN5,SPTA1,SPTB",0.00028,0.0411,"Cortical actin cytoskeleton"
"Process","GO:0009062",9,93,9606,"9606.ENSP00000216780,9606.ENSP00000265641,9606.ENSP00000281317,9606.ENSP00000346173,9606.ENSP00000359871,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000438689","PCK2,CPT1A,MMAA,ETFB,ACADM,HADHA,CPT1C,CPT1B,ACADVL",1.74e-08,0.00022,"Fatty acid catabolic process"
"Process","GO:0032787",17,515,9606,"9606.ENSP00000216780,9606.ENSP00000262430,9606.ENSP00000265594,9606.ENSP00000265641,9606.ENSP00000281317,9606.ENSP00000324105,9606.ENSP00000341044,9606.ENSP00000343657,9606.ENSP00000346173,9606.ENSP00000358831,9606.ENSP00000359871,9606.ENSP00000360124,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000430950,9606.ENSP00000438689","PCK2,MLYCD,MCCC1,CPT1A,MMAA,ENO3,ACACB,MCCC2,ETFB,ELOVL4,ACADM,PGM1,HADHA,CPT1C,CPT1B,IDO1,ACADVL",4.56e-08,0.00029,"Monocarboxylic acid metabolic process"
"Process","GO:0006635",7,56,9606,"9606.ENSP00000265641,9606.ENSP00000346173,9606.ENSP00000359871,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000438689","CPT1A,ETFB,ACADM,HADHA,CPT1C,CPT1B,ACADVL",1.45e-07,0.00038,"Fatty acid beta-oxidation"
"Process","GO:0019395",8,80,9606,"9606.ENSP00000262430,9606.ENSP00000265641,9606.ENSP00000346173,9606.ENSP00000359871,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000438689","MLYCD,CPT1A,ETFB,ACADM,HADHA,CPT1C,CPT1B,ACADVL",8.84e-08,0.00038,"Fatty acid oxidation"
"Process","GO:0033993",21,858,9606,"9606.ENSP00000215832,9606.ENSP00000216780,9606.ENSP00000231509,9606.ENSP00000265641,9606.ENSP00000292303,9606.ENSP00000310170,9606.ENSP00000321345,9606.ENSP00000324270,9606.ENSP00000327025,9606.ENSP00000330696,9606.ENSP00000337383,9606.ENSP00000344095,9606.ENSP00000352833,9606.ENSP00000354511,9606.ENSP00000372139,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000430950,9606.ENSP00000445306,9606.ENSP00000467494","MAPK1,PCK2,NR3C1,CPT1A,CCR5,FOSL1,IL23R,OXTR,RORC,P2RX7,NLRP3,ZNF683,PTPN22,COMT,DEFA1,IL6,TNF,IL10,IDO1,ATP1A1,GIPR",1.52e-07,0.00038,"Response to lipid"
"Process","GO:0044282",15,424,9606,"9606.ENSP00000216780,9606.ENSP00000265594,9606.ENSP00000265641,9606.ENSP00000281317,9606.ENSP00000324105,9606.ENSP00000343657,9606.ENSP00000346173,9606.ENSP00000359871,9606.ENSP00000360124,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000389175,9606.ENSP00000430950,9606.ENSP00000438689","PCK2,MCCC1,CPT1A,MMAA,ENO3,MCCC2,ETFB,ACADM,PGM1,HADHA,CPT1C,CPT1B,GLYCTK,IDO1,ACADVL",1.27e-07,0.00038,"Small molecule catabolic process"
"Process","GO:0046395",12,260,9606,"9606.ENSP00000216780,9606.ENSP00000265594,9606.ENSP00000265641,9606.ENSP00000281317,9606.ENSP00000343657,9606.ENSP00000346173,9606.ENSP00000359871,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000430950,9606.ENSP00000438689","PCK2,MCCC1,CPT1A,MMAA,MCCC2,ETFB,ACADM,HADHA,CPT1C,CPT1B,IDO1,ACADVL",1.67e-07,0.00038,"Carboxylic acid catabolic process"
"Process","GO:0048534",18,619,9606,"9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000229135,9606.ENSP00000262418,9606.ENSP00000300215,9606.ENSP00000307199,9606.ENSP00000308117,9606.ENSP00000327025,9606.ENSP00000343952,9606.ENSP00000352833,9606.ENSP00000357129,9606.ENSP00000360217,9606.ENSP00000377192,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000419371","MAPK1,MYH9,IFNG,SLC4A1,EPB42,AHSP,CD248,RORC,GPR29,PTPN22,SPTA1,RHAG,G6PD,ENSP00000383715,IL6,TNF,IL10,AZI2",1.13e-07,0.00038,"Hematopoietic or lymphoid organ development"
"Process","GO:0014070",21,911,9606,"9606.ENSP00000215832,9606.ENSP00000216780,9606.ENSP00000231509,9606.ENSP00000265641,9606.ENSP00000289753,9606.ENSP00000292303,9606.ENSP00000308725,9606.ENSP00000310170,9606.ENSP00000324270,9606.ENSP00000327025,9606.ENSP00000330696,9606.ENSP00000336630,9606.ENSP00000341044,9606.ENSP00000344095,9606.ENSP00000354511,9606.ENSP00000372139,9606.ENSP00000377192,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000445306","MAPK1,PCK2,NR3C1,CPT1A,HTR6,CCR5,GABRB3,FOSL1,OXTR,RORC,P2RX7,ADORA2A,ACACB,ZNF683,COMT,DEFA1,G6PD,IL6,TNF,IL10,ATP1A1",4e-07,4e-04,"Response to organic cyclic compound"
"Process","GO:0030097",16,570,9606,"9606.ENSP00000216181,9606.ENSP00000229135,9606.ENSP00000262418,9606.ENSP00000300215,9606.ENSP00000307199,9606.ENSP00000327025,9606.ENSP00000343952,9606.ENSP00000352833,9606.ENSP00000357129,9606.ENSP00000360217,9606.ENSP00000377192,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000419371","MYH9,IFNG,SLC4A1,EPB42,AHSP,RORC,GPR29,PTPN22,SPTA1,RHAG,G6PD,ENSP00000383715,IL6,TNF,IL10,AZI2",9.58e-07,0.00088,"Hemopoiesis"
"Process","GO:0006631",12,311,9606,"9606.ENSP00000216780,9606.ENSP00000262430,9606.ENSP00000265641,9606.ENSP00000281317,9606.ENSP00000341044,9606.ENSP00000346173,9606.ENSP00000358831,9606.ENSP00000359871,9606.ENSP00000370023,9606.ENSP00000376303,9606.ENSP00000379011,9606.ENSP00000438689","PCK2,MLYCD,CPT1A,MMAA,ACACB,ETFB,ELOVL4,ACADM,HADHA,CPT1C,CPT1B,ACADVL",1.04e-06,0.00089,"Fatty acid metabolic process"
"Process","GO:0032496",12,313,9606,"9606.ENSP00000215832,9606.ENSP00000292303,9606.ENSP00000321345,9606.ENSP00000330696,9606.ENSP00000337383,9606.ENSP00000352833,9606.ENSP00000354511,9606.ENSP00000372139,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000430950","MAPK1,CCR5,IL23R,P2RX7,NLRP3,PTPN22,COMT,DEFA1,IL6,TNF,IL10,IDO1",1.11e-06,0.00089,"Response to lipopolysaccharide"
"Process","GO:0050900",12,316,9606,"9606.ENSP00000023064,9606.ENSP00000216181,9606.ENSP00000292303,9606.ENSP00000343952,9606.ENSP00000354003,9606.ENSP00000372139,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000411004,9606.ENSP00000412237,9606.ENSP00000427690","SLC7A9,MYH9,CCR5,GPR29,GYPA,DEFA1,ENSP00000383715,IL6,TNF,XG,IL10,GYPB",1.22e-06,0.00092,"Leukocyte migration"
"Process","GO:0040011",24,1251,9606,"9606.ENSP00000023064,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000262741,9606.ENSP00000289753,9606.ENSP00000292303,9606.ENSP00000308117,9606.ENSP00000310170,9606.ENSP00000317790,9606.ENSP00000334665,9606.ENSP00000343952,9606.ENSP00000349967,9606.ENSP00000354003,9606.ENSP00000357129,9606.ENSP00000371420,9606.ENSP00000372139,9606.ENSP00000372160,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000411004,9606.ENSP00000412237,9606.ENSP00000427690,9606.ENSP00000451752","SLC7A9,MAPK1,MYH9,PIK3R3,HTR6,CCR5,CD248,FOSL1,SPTBN5,FSCN2,GPR29,CCRL2,GYPA,SPTA1,GPNMB,DEFA1,DOK6,ENSP00000383715,IL6,TNF,XG,IL10,GYPB,SPTB",1.37e-06,0.00098,"Locomotion"
"Process","GO:0002676",4,10,9606,"9606.ENSP00000304501,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000430950","ADORA2B,TNF,IL10,IDO1",1.47e-06,0.001,"Regulation of chronic inflammatory response"
"Process","GO:0006853",4,11,9606,"9606.ENSP00000265641,9606.ENSP00000326305,9606.ENSP00000341044,9606.ENSP00000379011","CPT1A,SLC25A20,ACACB,CPT1B",2e-06,0.0012,"Carnitine shuttle"
"Process","GO:0006968",6,54,9606,"9606.ENSP00000292303,9606.ENSP00000304501,9606.ENSP00000310170,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000383715","CCR5,ADORA2B,FOSL1,ADORA2A,GPR29,ENSP00000383715",2.19e-06,0.0012,"Cellular defense response"
"Process","GO:0009605",34,2310,9606,"9606.ENSP00000215832,9606.ENSP00000216780,9606.ENSP00000229135,9606.ENSP00000292303,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000310170,9606.ENSP00000317790,9606.ENSP00000321345,9606.ENSP00000330696,9606.ENSP00000336630,9606.ENSP00000337383,9606.ENSP00000341044,9606.ENSP00000343952,9606.ENSP00000344095,9606.ENSP00000349967,9606.ENSP00000352833,9606.ENSP00000354511,9606.ENSP00000357129,9606.ENSP00000358831,9606.ENSP00000367064,9606.ENSP00000371420,9606.ENSP00000372139,9606.ENSP00000372160,9606.ENSP00000377192,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000430950,9606.ENSP00000444810,9606.ENSP00000445306,9606.ENSP00000451752,9606.ENSP00000467494","MAPK1,PCK2,IFNG,CCR5,ADORA2B,ADRB2,FOSL1,SPTBN5,IL23R,P2RX7,ADORA2A,NLRP3,ACACB,GPR29,ZNF683,CCRL2,PTPN22,COMT,SPTA1,ELOVL4,CUBN,GPNMB,DEFA1,DOK6,G6PD,ENSP00000383715,IL6,TNF,IL10,IDO1,FKBP5,ATP1A1,SPTB,GIPR",2.42e-06,0.0012,"Response to external stimulus"
"Process","GO:0065008",49,4042,9606,"9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000216780,9606.ENSP00000223215,9606.ENSP00000229135,9606.ENSP00000262418,9606.ENSP00000265641,9606.ENSP00000268124,9606.ENSP00000292303,9606.ENSP00000299847,9606.ENSP00000300215,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000307199,9606.ENSP00000308725,9606.ENSP00000310649,9606.ENSP00000312029,9606.ENSP00000317790,9606.ENSP00000324270,9606.ENSP00000330696,9606.ENSP00000336630,9606.ENSP00000341044,9606.ENSP00000343952,9606.ENSP00000347409,9606.ENSP00000349967,9606.ENSP00000351214,9606.ENSP00000354511,9606.ENSP00000357129,9606.ENSP00000360217,9606.ENSP00000364802,9606.ENSP00000367064,9606.ENSP00000373298,9606.ENSP00000376303,9606.ENSP00000377192,9606.ENSP00000379087,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000393066,9606.ENSP00000397312,9606.ENSP00000398698,9606.ENSP00000402152,9606.ENSP00000412237,9606.ENSP00000433490,9606.ENSP00000438689,9606.ENSP00000441858,9606.ENSP00000445306,9606.ENSP00000451752,9606.ENSP00000467494,9606.ENSP00000477344","MAPK1,MYH9,PCK2,MEST,IFNG,SLC4A1,CPT1A,POLG,CCR5,CHRFAM7A,EPB42,ADORA2B,ADRB2,AHSP,GABRB3,BRSK1,UCP2,SPTBN5,OXTR,P2RX7,ADORA2A,ACACB,GPR29,KEL,CCRL2,TOMM7,COMT,SPTA1,RHAG,HSPA1A,CUBN,COLQ,CPT1C,G6PD,ADM2,ENSP00000383715,IL6,SLC4A10,LRRN3,TNF,SLC12A3,IL10,CALCB,ACADVL,DMXL2,ATP1A1,SPTB,GIPR,SYT6",1.86e-06,0.0012,"Regulation of biological quality"
