"Patient","ELOVL4","CPT1A","CPT1C","MCCC1","CPT1B","SURF1","MMACHC","ENO3","ACADVL","HADHA","ACACB","PGM1","PCK2","MLYCD","ETFB","CUBN","MINPP1","ACADM","MCCC2","TACO1","MMAA","G6PD","LMBRD1","GLYCTK"
"24","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral"
"25","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"26","Neutral","Neutral","Neutral","Downregulated","Downregulated","Neutral","Downregulated","Neutral","Neutral","Upregulated","Downregulated","Upregulated","Neutral","Downregulated","Upregulated","Neutral","Neutral","Neutral","Downregulated","Downregulated","Neutral","Upregulated","Upregulated","Downregulated"
"27","Neutral","Neutral","Neutral","Upregulated","Neutral","Downregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated"
"28","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Downregulated","Neutral","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated"
"29","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Downregulated","Neutral","Upregulated","Upregulated","Upregulated","Upregulated","Downregulated","Neutral","Neutral"
"3","Neutral","Neutral","Downregulated","Neutral","Neutral","Downregulated","Upregulated","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral"
"4","Neutral","Neutral","Neutral","Downregulated","Neutral","Upregulated","Neutral","Downregulated","Downregulated","Neutral","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Upregulated","Upregulated","Neutral"
"5","Neutral","Upregulated","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"6","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Upregulated"
"7","Upregulated","Upregulated","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Downregulated","Downregulated","Neutral","Neutral","Upregulated"
"8","Downregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Upregulated","Upregulated","Neutral","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Upregulated"
"9","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral"
