"gene","name","symbol","summary","mean","lfc","padj","direction"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","PIK3R3","Phosphatidylinositol 3-kinase (PI3K) phosphorylates phosphatidylinositol and similar compounds, which then serve as second messengers in growth signaling pathways. PI3K is composed of a catalytic and a regulatory subunit. The protein encoded by this gene represents a regulatory subunit of PI3K. The encoded protein contains two SH2 domains through which it binds activated protein tyrosine kinases to regulate their activity. [provided by RefSeq, Jun 2016].",6.98931647496169,-1.036555916893,0.0123338476748114,"Down"
"LRRN3","leucine rich repeat neuronal 3","LRRN3","Predicted to act upstream of or within positive regulation of synapse assembly. Predicted to be integral component of membrane. Predicted to be active in extracellular matrix and extracellular space. [provided by Alliance of Genome Resources, Apr 2022]",8.36980812025899,1.64594572204002,0.0123338476748114,"Up"
"SHROOM2P1","shroom family member 2 pseudogene 1","SHROOM2P1",NA,0.437880709622468,-16.7565491063685,0.0123338476748114,"Down"
"ENSG00000285952",NA,NA,NA,0.437880709622468,-16.7565491063685,0.0123338476748114,"Down"
"ENSG00000289694",NA,NA,NA,9.24256407407591,-11.2412320140593,0.0123338476748114,"Down"
"ODF3",NA,"Odf3",NA,2.1407498062842,5.4041939068377,0.0135200429667789,"Up"
"SLC4A10","solute carrier family 4 member 10","SLC4A10","This gene belongs to a small family of sodium-coupled bicarbonate transporters (NCBTs) that regulate the intracellular pH of neurons, the secretion of bicarbonate ions across the choroid plexus, and the pH of the brain extracellular fluid. The protein encoded by this gene was initially identified as a sodium-driven chloride bicarbonate exchanger (NCBE) though there is now evidence that its sodium/bicarbonate cotransport activity is independent of any chloride ion countertransport under physiological conditions. This gene is now classified as a member A10 of the SLC4 family of transmembrane solute carriers. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, May 2010].",7.9281550761876,2.07189846927375,0.0180854465417435,"Up"
"POLR3G","RNA polymerase III subunit G","POLR3G","Enables chromatin binding activity. Involved in positive regulation of innate immune response; positive regulation of interferon-beta production; and transcription by RNA polymerase III. Acts upstream of or within cell population proliferation. Located in cytosol and nuclear body. Part of RNA polymerase III complex. [provided by Alliance of Genome Resources, Apr 2022]",4.6035193055613,-1.5717130513704,0.0187571842961248,"Down"
"CBX3P2","CBX3 pseudogene 2","CBX3P2",NA,5.30669659964538,-1.33454872093345,0.0189575698833921,"Down"
"ENSG00000229308",NA,NA,NA,0.145852054332053,-16.0918270603701,0.0220492167928446,"Down"
"ENSG00000273088",NA,NA,NA,0.191367060353331,-16.0935956881027,0.0220492167928446,"Down"
"TMC1","transmembrane channel like 1","TMC1","This gene is considered a member of a gene family predicted to encode transmembrane proteins. The specific function of this gene is unknown; however, it is known to be required for normal function of cochlear hair cells. Mutations in this gene have been associated with progressive postlingual hearing loss and profound prelingual deafness. [provided by RefSeq, Jul 2008].",2.35503757058736,-5.23897161217388,0.0241841687658884,"Down"
"DEFA1","defensin alpha 1","DEFA1","Defensins are a family of antimicrobial and cytotoxic peptides thought to be involved in host defense. They are abundant in the granules of neutrophils and also found in the epithelia of mucosal surfaces such as those of the intestine, respiratory tract, urinary tract, and vagina. Members of the defensin family are highly similar in protein sequence and distinguished by a conserved cysteine motif. The protein encoded by this gene, defensin, alpha 1, is found in the microbicidal granules of neutrophils and likely plays a role in phagocyte-mediated host defense. Several alpha defensin genes are clustered on chromosome 8. This gene differs from defensin, alpha 3 by only one amino acid. This gene and the gene encoding defensin, alpha 3 are both subject to copy number variation. [provided by RefSeq, Oct 2014].",10.072724455081,-12.5740820164029,0.0241841687658884,"Down"
"KLHL4","kelch like family member 4","KLHL4","This gene encodes a member of the kelch family of proteins, which are characterized by kelch repeat motifs and a POZ/BTB protein-binding domain. It is thought that kelch repeats are actin binding domains. However, the specific function of this protein has not been determined. Alternative splicing of this gene results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008].",2.07406007443811,-4.24601515050942,0.0284424191453285,"Down"
"ENSG00000273162",NA,NA,NA,2.0018107878838,-3.96826310937326,0.0301577463304952,"Down"
"KCNQ5","potassium voltage-gated channel subfamily Q member 5","KCNQ5","This gene is a member of the KCNQ potassium channel gene family that is differentially expressed in subregions of the brain and in skeletal muscle. The protein encoded by this gene yields currents that activate slowly with depolarization and can form heteromeric channels with the protein encoded by the KCNQ3 gene. Currents expressed from this protein have voltage dependences and inhibitor sensitivities in common with M-currents. They are also inhibited by M1 muscarinic receptor activation. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009].",7.78306062279125,1.29950154631283,0.0366930069115456,"Up"
"ENSG00000225544",NA,NA,NA,4.51196674743515,4.70994592364752,0.0386922548660648,"Up"
"FSCN2","fascin actin-bundling protein 2, retinal","FSCN2","This gene encodes a member of the fascin protein family. Fascins crosslink actin into filamentous bundles within dynamic cell extensions. This family member is proposed to play a role in photoreceptor disk morphogenesis. A mutation in this gene results in one form of autosomal dominant retinitis pigmentosa and macular degeneration. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",5.1799916011993,1.44540549901796,0.0416853784908218,"Up"
"MED14OS","MED14 opposite strand","MED14OS",NA,2.02241457798809,-3.96023277211451,0.0438980654839939,"Down"
"TMEM37","transmembrane protein 37","TMEM37","Predicted to enable calcium channel activity and voltage-gated ion channel activity. Predicted to be involved in calcium ion transmembrane transport and regulation of ion transmembrane transport. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]",2.42916938887607,5.11675492385822,0.0486989543246847,"Up"
"ENSG00000227080",NA,NA,NA,3.28359745158275,4.27145974256653,0.0486989543246847,"Up"
"GRAMD4","GRAM domain containing 4","GRAMD4","GRAMD4 is a mitochondrial effector of E2F1 (MIM 189971)-induced apoptosis (Stanelle et al., 2005 [PubMed 15565177]).[supplied by OMIM, Jan 2011].",10.5782565463414,-0.627043324402751,0.049287486304901,"Down"
